raw_data,_snowflake_loaded_at
"{""id"": 1001, ""subject"": ""Não consigo acessar o painel"", ""description"": ""Cliente sem login desde a manhã"", ""status"": ""solved"", ""priority"": ""high"", ""brand_id"": 34126647548180, ""assignee_id"": 200, ""requester_id"": 300, ""submitter_id"": 300, ""organization_id"": 100, ""group_id"": 10, ""ticket_form_id"": 900, ""via"": ""email"", ""tags"": [""login"", ""urgente""], ""is_public"": true, ""has_incidents"": false, ""from_messaging_channel"": false, ""custom_fields"": [{""id"": 36210587567380, ""value"": ""duvida""}, {""id"": 36211214371476, ""value"": ""n1""}], ""created_at"": ""2026-06-01T08:00:00Z"", ""updated_at"": ""2026-06-01T12:00:00Z"", ""satisfaction_rating"": ""offered"", ""datalake_updated_at"": ""2026-06-23T09:00:00-03:00""}",2026-06-23 09:00:00.000
"{""id"": 1002, ""subject"": ""Valor da fatura está incorreto"", ""description"": ""Cobrança não reconhecida"", ""status"": ""open"", ""priority"": ""normal"", ""brand_id"": 34126647548180, ""assignee_id"": 201, ""requester_id"": 301, ""submitter_id"": 301, ""organization_id"": 101, ""group_id"": 11, ""ticket_form_id"": 900, ""via"": ""web"", ""tags"": [""faturamento""], ""is_public"": true, ""has_incidents"": false, ""from_messaging_channel"": false, ""custom_fields"": [{""id"": 36210587567380, ""value"": ""financeiro""}, {""id"": 36211214371476, ""value"": ""n2""}], ""created_at"": ""2026-06-02T09:30:00Z"", ""updated_at"": ""2026-06-02T15:00:00Z"", ""satisfaction_rating"": ""offered"", ""datalake_updated_at"": ""2026-06-23T09:00:00-03:00""}",2026-06-23 09:00:00.000
"{""id"": 1003, ""subject"": ""Como adiciono membros à equipe"", ""description"": ""Deseja convidar colegas"", ""status"": ""pending"", ""priority"": ""low"", ""brand_id"": 43696510017940, ""assignee_id"": 200, ""requester_id"": 302, ""submitter_id"": 302, ""organization_id"": 102, ""group_id"": 12, ""ticket_form_id"": 901, ""via"": ""chat"", ""tags"": [""duvida"", ""onboarding""], ""is_public"": true, ""has_incidents"": false, ""from_messaging_channel"": true, ""custom_fields"": [{""id"": 36210587567380, ""value"": ""duvida""}, {""id"": 36211214371476, ""value"": ""n1""}], ""created_at"": ""2026-06-03T11:00:00Z"", ""updated_at"": ""2026-06-04T09:00:00Z"", ""satisfaction_rating"": ""offered"", ""datalake_updated_at"": ""2026-06-23T09:00:00-03:00""}",2026-06-23 09:00:00.000
"{""id"": 1004, ""subject"": ""Aplicativo trava ao exportar"", ""description"": ""Trava ao exportar CSV"", ""status"": ""solved"", ""priority"": ""urgent"", ""brand_id"": 34126647548180, ""assignee_id"": 201, ""requester_id"": 300, ""submitter_id"": 300, ""organization_id"": 100, ""group_id"": 10, ""ticket_form_id"": 900, ""via"": ""email"", ""tags"": [""bug"", ""trava""], ""is_public"": true, ""has_incidents"": true, ""from_messaging_channel"": false, ""custom_fields"": [{""id"": 36210587567380, ""value"": ""reclamacao""}, {""id"": 36211214371476, ""value"": ""n2""}], ""created_at"": ""2026-06-05T07:45:00Z"", ""updated_at"": ""2026-06-05T18:20:00Z"", ""satisfaction_rating"": ""offered"", ""datalake_updated_at"": ""2026-06-23T09:00:00-03:00""}",2026-06-23 09:00:00.000
"{""id"": 1005, ""subject"": ""Solicito reembolso do mês passado"", ""description"": ""Pedido de reembolso"", ""status"": ""closed"", ""priority"": ""normal"", ""brand_id"": 43696510017940, ""assignee_id"": 201, ""requester_id"": 301, ""submitter_id"": 301, ""organization_id"": 101, ""group_id"": 11, ""ticket_form_id"": 900, ""via"": ""email"", ""tags"": [""faturamento"", ""reembolso""], ""is_public"": true, ""has_incidents"": false, ""from_messaging_channel"": false, ""custom_fields"": [{""id"": 36210587567380, ""value"": ""financeiro""}, {""id"": 36211214371476, ""value"": ""n2""}], ""created_at"": ""2026-06-06T10:00:00Z"", ""updated_at"": ""2026-06-08T16:00:00Z"", ""satisfaction_rating"": ""offered"", ""datalake_updated_at"": ""2026-06-23T09:00:00-03:00""}",2026-06-23 09:00:00.000
"{""id"": 1006, ""subject"": ""Dúvida sobre configuração de SSO"", ""description"": ""Precisa de ajuda com SSO"", ""status"": ""open"", ""priority"": ""low"", ""brand_id"": 43696510017940, ""assignee_id"": 200, ""requester_id"": 302, ""submitter_id"": 302, ""organization_id"": 102, ""group_id"": 12, ""ticket_form_id"": 901, ""via"": ""web"", ""tags"": [""sso"", ""duvida""], ""is_public"": true, ""has_incidents"": false, ""from_messaging_channel"": false, ""custom_fields"": [{""id"": 36210587567380, ""value"": ""duvida""}, {""id"": 36211214371476, ""value"": ""n1""}], ""created_at"": ""2026-06-10T14:00:00Z"", ""updated_at"": ""2026-06-11T10:00:00Z"", ""satisfaction_rating"": ""offered"", ""datalake_updated_at"": ""2026-06-23T09:00:00-03:00""}",2026-06-23 09:00:00.000
"{""id"": 1007, ""subject"": ""Escalação: divergência de dados"", ""description"": ""Totais do relatório não batem"", ""status"": ""hold"", ""priority"": ""high"", ""brand_id"": 34126647548180, ""assignee_id"": 201, ""requester_id"": 303, ""submitter_id"": 303, ""organization_id"": 103, ""group_id"": 13, ""ticket_form_id"": 901, ""via"": ""email"", ""tags"": [""escalacao"", ""dados""], ""is_public"": true, ""has_incidents"": false, ""from_messaging_channel"": false, ""custom_fields"": [{""id"": 36210587567380, ""value"": ""reclamacao""}, {""id"": 36211214371476, ""value"": ""n2""}], ""created_at"": ""2026-06-12T08:00:00Z"", ""updated_at"": ""2026-06-13T09:30:00Z"", ""satisfaction_rating"": ""offered"", ""datalake_updated_at"": ""2026-06-23T09:00:00-03:00""}",2026-06-23 09:00:00.000
"{""id"": 1099, ""subject"": ""Ticket de marca fora do CX"", ""description"": ""Deve ser filtrado pela view CX"", ""status"": ""open"", ""priority"": ""normal"", ""brand_id"": 99999999999999, ""assignee_id"": 200, ""requester_id"": 300, ""submitter_id"": 300, ""organization_id"": 100, ""group_id"": 10, ""ticket_form_id"": 900, ""via"": ""email"", ""tags"": [""outros""], ""is_public"": true, ""has_incidents"": false, ""from_messaging_channel"": false, ""custom_fields"": [], ""created_at"": ""2026-06-14T08:00:00Z"", ""updated_at"": ""2026-06-14T09:00:00Z"", ""satisfaction_rating"": ""offered"", ""datalake_updated_at"": ""2026-06-23T09:00:00-03:00""}",2026-06-23 09:00:00.000
"{""id"": 1008, ""subject"": ""Erro ao anexar comprovante"", ""description"": ""Upload falha ao enviar comprovante de pagamento"", ""status"": ""solved"", ""priority"": ""high"", ""brand_id"": 34126647548180, ""assignee_id"": 200, ""requester_id"": 301, ""submitter_id"": 301, ""organization_id"": 101, ""group_id"": 11, ""ticket_form_id"": 900, ""via"": ""web"", ""tags"": [""anexo"", ""pagamento""], ""is_public"": true, ""has_incidents"": false, ""from_messaging_channel"": false, ""custom_fields"": [{""id"": 36210587567380, ""value"": ""financeiro""}, {""id"": 36211214371476, ""value"": ""n1""}], ""created_at"": ""2026-06-15T09:10:00Z"", ""updated_at"": ""2026-06-15T13:00:00Z"", ""satisfaction_rating"": ""good"", ""datalake_updated_at"": ""2026-06-23T09:00:00-03:00""}",2026-06-23 09:00:00.000
"{""id"": 1009, ""subject"": ""Instabilidade no login via SSO"", ""description"": ""Usuários não conseguem autenticar com o provedor"", ""status"": ""open"", ""priority"": ""urgent"", ""brand_id"": 43696510017940, ""assignee_id"": 201, ""requester_id"": 300, ""submitter_id"": 300, ""organization_id"": 100, ""group_id"": 13, ""ticket_form_id"": 901, ""via"": ""email"", ""tags"": [""sso"", ""incidente""], ""is_public"": true, ""has_incidents"": true, ""from_messaging_channel"": false, ""custom_fields"": [{""id"": 36210587567380, ""value"": ""reclamacao""}, {""id"": 36211214371476, ""value"": ""n2""}], ""created_at"": ""2026-06-16T07:20:00Z"", ""updated_at"": ""2026-06-16T18:45:00Z"", ""satisfaction_rating"": ""offered"", ""datalake_updated_at"": ""2026-06-23T09:00:00-03:00""}",2026-06-23 09:00:00.000
